id	reg	vb	hinc	hmem	hint	fixline	hcar	sex	agecat	marits	red	empst	hhead	pinc	sim	seg_ls	q74#1	q74#2	q74#3	q74#4	q74#5	q74#6	q74#7	q74#8	q74#9	q65#13	q65#17	q65#18	q40_23	q75_1	q78_1
1	53	1	13	6	1	1	2	2	2	1	3	1	1	 	1	3	1	1	1	1	0	1	1	0	1	1	1	1	1	20	0
2	11	6	14	3	1	2	2	2	6	2	4	9	2	20	1	6	1	1	1	0	0	0	0	1	1	1	1	0	1	90	40
3	72	4	13	4	1	2	1	2	2	1	4	1	1	 	1	8	1	1	1	0	1	1	0	1	0	1	1	1	1	240	300
4	31	5	14	4	1	1	2	1	4	2	2	2	1	17	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	60	120
5	72	3	15	4	1	2	1	1	1	1	2	1	2	 	1	7	1	1	1	0	0	1	1	1	1	1	1	0	1	90	150
6	81	1	14	4	1	1	2	1	4	2	4	2	1	17	1	3	1	1	1	0	1	1	0	0	0	1	1	0	2	30	60
7	21	3	13	4	1	1	2	2	1	1	3	1	1	 	1	6	1	1	1	0	0	0	0	1	1	1	1	1	2	120	300
8	53	4	13	5	1	2	1	2	6	2	3	7	2	31	2	6	1	1	1	0	0	0	0	0	0	0	0	0	5	30	0
9	62	2	15	3	1	2	2	2	2	2	2	6	2	 	1	3	1	1	1	0	0	0	1	0	0	1	1	0	2	1	1
10	41	3	15	2	1	1	1	2	6	2	2	8	2	20	1	3	1	0	0	0	0	0	0	0	0	1	1	0	5	15	30
11	11	6	17	4	1	2	1	2	2	1	2	1	2	 	1	6	1	1	1	1	0	0	1	1	1	1	1	0	1	3	5
12	61	4	24	3	1	2	3	2	1	1	1	7	2	 	1	6	1	1	1	1	0	0	1	0	0	1	0	0	3	20	60
13	32	5	13	3	1	2	2	2	3	3	4	2	2	18	1	3	1	1	1	0	0	0	0	0	0	1	0	1	1	90	60
14	51	2	14	3	1	2	1	1	4	3	4	4	2	16	1	6	1	1	1	1	1	1	1	1	0	1	1	0	1	180	240
15	61	3	14	3	1	2	1	1	6	2	2	9	2	22	1	2	1	1	1	0	0	0	0	0	0	1	1	0	6	10	0
