ID;ITEM
1;2
2;6
3;2
4;4
5;1
6;4
7;1
8;6
9;2
10;6
11;2
12;1
13;3
14;4
15;6
16;3
17;4
18;6
19;5
20;4
21;1
22;6
23;6
24;6
25;6
26;6
27;5
28;2
29;4
30;6
31;2
32;6
33;6
34;2
35;4
36;4
37;6
38;4
39;4
40;6
41;4
42;4
43;4
44;2
45;6
46;4
47;1
48;1
49;2
50;2
51;2
52;4
53;5
54;2
55;4
56;4
57;5
58;6
59;6
60;4
61;2
62;5
63;4
64;4
65;4
66;4
67;4
68;4
69;5
70;1
71;1
72;5
73;6
74;1
75;5
76;5
77;5
78;2
79;1
80;2
81;5
82;4
83;2
84;5
85;1
86;4
87;2
88;5
89;5
90;6
91;3
92;3
93;6
94;5
95;6
96;4
97;6
98;6
99;3
100;6
101;4
102;6
103;5
104;3
105;2
106;2
107;2
108;6
109;2
110;6
111;3
112;6
113;5
114;6
115;1
116;5
117;4
118;5
119;4
120;3
121;5
122;5
123;1
124;1
125;5
126;4
127;5
128;5
129;4
130;2
131;3
132;3
133;2
134;5
135;3
136;5
137;5
138;2
139;1
140;6
141;6
142;5
143;4
144;5
145;1
146;3
147;3
148;6
149;4
150;6
151;1
152;5
153;5
154;1
155;6
156;4
157;4
158;5
159;4
160;6
161;1
162;4
163;2
164;2
165;4
166;3
167;6
168;4
169;3
170;2
171;2
172;1
173;6
174;3
175;5
176;3
177;4
178;4
179;4
180;3
181;4
182;4
183;6
184;4
185;3
186;3
187;2
188;2
189;5
190;3
191;5
192;1
193;1
194;5
195;3
196;1
197;6
198;5
199;4
200;6
201;5
202;6
203;4
204;6
205;1
206;4
207;6
208;3
209;5
210;5
211;4
212;6
213;6
214;3
215;3
216;2
217;4
218;4
219;2
220;3
221;3
222;1
223;4
224;4
225;3
226;6
227;5
228;3
229;3
230;4
231;1
232;1
233;6
234;6
235;4
236;6
237;2
238;6
239;2
240;3
241;3
242;5
243;3
244;5
245;6
246;4
247;3
248;4
249;4
250;6
251;5
252;4
253;5
254;3
255;1
256;6
257;5
258;5
259;2
260;2
261;2
262;6
263;6
264;4
265;1
266;6
267;6
268;4
269;5
270;6
271;4
272;4
273;3
274;4
275;2
276;3
277;2
278;4
279;1
280;3
281;2
282;6
283;4
284;2
285;5
286;6
287;2
288;4
289;4
290;4
291;2
292;6
293;1
294;2
295;3
296;5
297;3
298;5
299;3
300;6
301;6
302;6
303;4
304;1
305;6
306;2
307;6
308;6
309;3
310;5
311;3
312;1
313;3
314;3
315;6
316;4
317;3
318;2
319;6
320;4
321;6
322;5
323;2
324;5
325;1
326;1
327;4
328;1
329;6
330;4
331;6
332;5
333;4
334;3
335;2
336;2
337;2
338;6
339;5
340;4
341;3
342;1
343;6
344;5
345;5
346;5
347;5
348;1
349;3
350;3
351;5
352;3
353;5
354;6
355;1
356;1
357;2
358;4
