V1;V2
1;PC
2;PC
3;PC
4;PC
5;PC
6;PC
7;PC
9;PC
10;PC
11;PC
14;PC
15;PC
16;PC
19;PC
20;PC
21;PC
22;PC
23;PC
24;PC
25;PC
28;PC
29;PC
30;PC
32;PC
33;PC
34;PC
36;PC
39;PC
42;PC
43;PC
45;PC
46;PC
47;PC
50;PC
52;PC
53;PC
54;PC
55;PC
60;PC
63;PC
64;PC
65;PC
67;PC
68;PC
70;PC
71;PC
72;PC
74;PC
75;PC
76;PC
78;PC
80;PC
82;PC
83;PC
84;PC
85;PC
86;PC
88;PC
90;PC
91;PC
93;PC
95;PC
96;PC
98;PC
99;PC
102;PC
103;PC
104;PC
105;PC
106;PC
107;PC
108;PC
109;PC
112;PC
115;PC
116;PC
117;PC
118;PC
119;PC
120;PC
122;PC
123;PC
124;PC
127;PC
129;PC
130;PC
131;PC
132;PC
133;PC
135;PC
138;PC
139;PC
141;PC
142;PC
143;PC
144;PC
145;PC
146;PC
149;PC
150;PC
152;PC
156;PC
157;PC
158;PC
160;PC
161;PC
162;PC
163;PC
164;PC
165;PC
168;PC
172;PC
174;PC
176;PC
177;PC
178;PC
180;PC
181;PC
183;PC
184;PC
185;PC
186;PC
189;PC
190;PC
192;PC
193;PC
194;PC
195;PC
196;PC
197;PC
198;PC
199;PC
200;PC
201;PC
202;PC
204;PC
205;PC
206;PC
207;PC
208;PC
210;PC
211;PC
214;PC
216;PC
217;PC
218;PC
219;PC
220;PC
223;PC
225;PC
226;PC
228;PC
230;PC
231;PC
232;PC
233;PC
235;PC
238;PC
240;PC
241;PC
244;PC
245;PC
246;PC
247;PC
251;PC
254;PC
255;PC
257;PC
258;PC
261;PC
263;PC
264;PC
266;PC
268;PC
269;PC
270;PC
271;PC
272;PC
273;PC
275;PC
277;PC
278;PC
279;PC
282;PC
283;PC
284;PC
285;PC
289;PC
291;PC
292;PC
293;PC
295;PC
297;PC
298;PC
299;PC
300;PC
301;PC
304;PC
305;PC
306;PC
308;PC
309;PC
310;PC
312;PC
